size,naive_numpy_seconds,numpy_fft_seconds,tensor_dft_seconds
64,0.003989019896835089,1.7642974853515625e-05,0.0001923898234963417
128,0.01621808111667633,1.0559801012277603e-05,0.0001825820654630661
256,0.06528926501050591,4.147831350564957e-05,0.00019018584862351418
512,0.26307774893939495,2.2232066839933395e-05,0.00019106781110167503
1024,1.0368990134447813,8.400809019804001e-05,0.0001956261694431305
2048,4.123060724232346,0.00010241195559501648,0.0003713262267410755
